City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,kavaratti,10.5669,72.642,302.15,67,9,1.84,IN,1712879415
162,remire-montjoly,4.9167,-52.2667,301.17,89,75,1.54,GF,1712879651
163,tura,25.5198,90.2201,296.75,39,67,1.69,IN,1712879651
164,mount isa,-20.7333,139.5,297.02,31,0,5.14,AU,1712879424
165,mata-utu,-13.2816,-176.1745,302.79,75,40,4.91,WF,1712879651
166,jamestown,42.097,-79.2353,290.92,98,100,4.63,US,1712879651
167,saint-philippe,-21.3585,55.7679,298.92,85,51,1.86,RE,1712879452
168,hengchun,22.0042,120.7439,299.43,73,1,1.23,TW,1712879651
169,ban phru nai,7.9333,98.5833,299.21,75,24,5.42,TH,1712879651
170,port alfred,-33.5906,26.891,287.69,81,30,1.79,ZA,1712879651
171,hanceville,34.0607,-86.7675,286.83,92,100,4.55,US,1712879519
172,kruisfontein,-34.0033,24.7314,286.42,75,3,3.13,ZA,1712879651
173,prince rupert,54.3161,-130.3201,280.2,68,100,4.63,CA,1712879651
174,sosnogorsk,63.6023,53.8817,277.34,99,100,7.15,RU,1712879652
175,daru,-9.0763,143.2092,300.21,83,100,7.56,PG,1712879652
176,alliance,40.9153,-81.1059,290.01,97,100,5.37,US,1712879450
177,sur,22.5667,59.5289,302.99,46,85,3.07,OM,1712879652
178,waterville,44.552,-69.6317,280.75,99,100,0.0,US,1712879415
179,nizhnegorskiy,45.4479,34.7384,285.49,74,6,2.57,UA,1712879652
180,mawu,29.5923,107.3139,288.61,87,64,0.75,CN,1712879652
181,inongo,-1.95,18.2667,297.58,86,94,1.08,CD,1712879652
182,vernon,50.2581,-119.2691,288.49,43,100,1.03,CA,1712879461
183,bintulu,3.1667,113.0333,298.38,100,20,0.0,MY,1712879652
184,tual,-5.6667,132.75,301.75,71,88,2.73,ID,1712879605
185,revda,56.801,59.9303,281.76,87,100,7.77,RU,1712879652
186,acarau,-2.8856,-40.12,299.75,86,97,3.28,BR,1712879430
187,newman,37.3138,-121.0208,302.75,45,18,1.34,US,1712879653
188,ancud,-41.8697,-73.8203,282.85,74,0,2.06,CL,1712879603
189,porto novo,6.4965,2.6036,300.86,78,82,4.08,BJ,1712879377
